category,subcategory,question,option1,option2,option3,option4,answer
Programming,Basic,What is the correct way to declare a variable in Java?,int x = 5;,var x = 5;,let x = 5;,const x = 5;,a
Programming,Basic,Which keyword is used to create a class in Java?,class,Class,define,def,a
Programming,Basic,What is the output of System.out.println("Hello" + "World");?,HelloWorld,Hello World,Hello+World,Error,a
Programming,Basic,Which method is used to get the length of a String in Java?,length(),size(),count(),getLength(),a
Programming,Basic,What is the correct syntax for a for loop in Java?,for (int i = 0; i < 10; i++),for i in range(10),for (i = 0; i < 10),loop for i,a
Programming,Average,What is the difference between == and .equals() in Java?,No difference,== compares references, .equals() compares values,== compares values, .equals() compares references,Both are deprecated,b
Programming,Average,Which of the following is NOT a primitive data type in Java?,int,String,boolean,double,b
Programming,Average,What is the purpose of the 'static' keyword in Java?,To make a method non-inheritable,To make a method belong to the class rather than instances,To make a method private,To make a method final,b
Programming,Average,Which method is used to convert a String to an integer in Java?,parseInt(),toInt(),convertToInt(),getInt(),a
Programming,Average,What is the output of System.out.println(5 / 2);?,2.5,2,2.0,Error,b
Programming,Advanced,What is the purpose of the 'final' keyword in Java?,To make a class non-inheritable,To make a variable constant,To make a method non-overridable,All of the above,d
Programming,Advanced,What is the difference between ArrayList and LinkedList?,No difference,ArrayList is faster for random access,LinkedList is faster for random access,Both are deprecated,b
Programming,Advanced,Which interface is used for sorting objects in Java?,Comparable,Comparator,Sortable,Orderable,a
Programming,Advanced,What is the purpose of the 'super' keyword in Java?,To call parent class methods,To create a superclass,To define inheritance,To override methods,a
Programming,Advanced,What is the output of System.out.println("Java".substring(1, 3));?,Ja,ava,Jav,Error,a 